Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,317,107,2,3.5,3,8.28,0,0.66
2,302,99,2,1,2,7.97,0,0.56
3,299,96,2,1.5,2,7.86,0,0.54
4,323,108,3,3.5,3,8.6,0,0.45
5,314,106,3,3,5,8.9,0,0.74
6,326,111,5,4.5,4,9.23,1,0.88
7,314,109,4,3.5,4,8.77,1,0.82
8,329,111,4,4.5,4.5,9.18,1,0.87
9,326,113,5,4.5,4,9.4,1,0.91
10,313,104,3,4,4.5,8.65,0,0.73
11,324,113,4,4.5,4,8.79,0,0.76
12,312,103,4,4,5,8.43,0,0.73
13,309,105,2,2.5,4,7.68,0,0.55
14,314,104,4,5,5,9.02,0,0.82
15,312,105,2,2.5,3,8.12,0,0.64
16,305,105,2,3,2,8.23,0,0.67
17,295,93,1,2,2,7.2,0,0.46
18,322,112,4,3.5,2.5,9.02,1,0.73
19,304,104,3,2.5,2,8.12,0,0.62
20,314,103,2,2,3,8.21,0,0.65
21,325,112,4,3.5,3.5,8.92,0,0.55
22,303,102,3,3.5,3,8.5,0,0.62
23,324,113,4,4.5,4.5,9.25,1,0.89
24,329,111,4,4.5,4,9.23,1,0.89
25,318,109,3,3.5,4,9.22,1,0.68
26,326,112,3,3.5,3,9.05,1,0.74
27,328,110,4,5,4,9.14,1,0.82
28,327,113,4,4.5,4.5,9.04,0,0.84
29,297,96,2,2.5,1.5,7.89,0,0.43
30,319,105,4,4,4.5,8.66,1,0.77
31,323,107,3,3.5,3.5,8.55,1,0.73
32,311,105,3,3.5,3,8.45,1,0.59
33,299,100,2,2,2,7.88,0,0.51
34,313,94,2,2.5,1.5,8.13,0,0.56
35,311,99,2,2.5,3,7.98,0,0.65
36,323,112,5,4,4.5,8.78,0,0.79
37,308,106,3,3.5,2.5,8.21,1,0.75
38,311,104,3,3.5,2,8.2,1,0.61
39,327,114,3,3,3,9.02,0,0.61
40,318,101,5,3.5,5,8.78,1,0.78
41,315,101,3,3.5,4.5,9.13,0,0.79
42,331,119,4,5,4.5,9.34,1,0.9
43,312,105,2,1.5,3,8.46,0,0.66
44,309,105,4,3.5,2,8.18,0,0.65
45,315,99,2,3.5,3,7.89,0,0.63
46,298,101,2,1.5,2,7.86,0,0.54
47,331,120,3,4,4,8.96,1,0.86
48,340,115,5,4.5,4.5,9.45,1,0.94
49,325,112,2,3,3.5,8.96,1,0.8
50,320,112,4,3,4.5,8.86,1,0.82
51,329,119,4,4.5,4.5,9.16,1,0.9
52,318,112,3,4,3.5,8.67,0,0.71
53,320,108,3,3.5,5,8.97,1,0.84
54,326,114,3,3,3,9.11,1,0.83
55,313,102,3,2,3,8.27,0,0.64
56,301,96,1,3,4,7.56,0,0.54
57,304,102,2,3,4,8.73,0,0.67
58,322,112,4,4.5,4.5,9.26,1,0.91
59,334,119,5,4.5,5,9.54,1,0.94
60,328,110,4,4,2.5,9.02,1,0.81
61,333,119,5,5,4.5,9.78,1,0.96
62,326,102,4,5,5,8.76,1,0.77
63,310,101,3,3.5,5,8.65,1,0.71
64,302,110,3,4,4.5,8.5,0,0.65
65,321,114,4,4,5,9.12,0,0.85
66,324,105,3,3,4,8.75,0,0.79
67,309,100,2,3,3,8.1,0,0.48
68,298,105,3,3.5,4,8.54,0,0.69
69,324,110,4,4.5,4,9.15,1,0.82
70,316,107,2,3.5,3.5,8.64,1,0.57
71,329,111,4,4.5,4,9.01,1,0.81
72,301,97,2,3,3,7.88,1,0.44
73,332,112,1,1.5,3,8.66,1,0.79
74,296,101,1,2.5,3,7.68,0,0.6
75,327,111,4,3,4,8.4,1,0.78
76,329,114,2,2,4,8.56,1,0.72
77,299,100,2,3,3.5,7.88,0,0.68
78,309,108,3,2.5,3,8.12,0,0.72
79,308,108,3,3.5,3.5,8.22,0,0.61
80,338,115,5,4.5,5,9.23,1,0.91
81,325,110,4,4.5,4,8.96,1,0.79
82,330,115,5,4.5,3,9.34,1,0.9
83,319,106,3,4,3,8,1,0.65
84,310,106,4,4.5,4.5,9.04,1,0.66
85,312,106,3,4,3.5,8.79,1,0.81
86,311,104,3,4.5,4.5,8.43,0,0.7
87,320,110,5,5,4.5,9.22,1,0.92
88,327,116,4,4,4.5,9.48,1,0.9
89,305,108,5,3,3,8.48,0,0.61
90,310,99,2,1.5,2,7.3,0,0.54
91,314,102,4,2.5,2,7.88,1,0.59
92,325,106,3,3.5,4,8.4,1,0.52
93,324,110,3,3.5,3,9.22,1,0.89
94,302,99,1,2,2,7.25,0,0.57
95,307,105,2,2,3.5,8.1,0,0.53
96,316,111,4,4,5,8.54,0,0.71
97,316,98,1,1.5,2,7.43,0,0.49
98,306,100,2,3,3,8,0,0.48
99,324,111,3,2.5,1.5,8.79,1,0.7
100,322,110,5,5,4,9.1,1,0.88
101,312,105,2,2,2.5,8.45,0,0.72
102,322,110,3,3.5,3,8.96,1,0.78
103,320,104,3,3.5,4.5,8.34,1,0.74
104,322,103,4,3,2.5,8.02,1,0.61
105,317,104,2,3,3,8.76,0,0.77
106,319,112,3,2.5,2,8.71,1,0.78
107,300,102,2,1.5,2,7.87,0,0.56
108,301,104,2,3.5,3.5,7.89,1,0.68
109,312,107,4,4.5,4,8.65,1,0.73
110,321,114,5,4.5,4.5,9.16,1,0.87
111,313,102,3,3.5,4,8.9,1,0.77
112,314,99,4,3.5,4.5,8.73,1,0.71
113,319,106,3,3.5,2.5,8.33,1,0.74
114,326,116,3,3.5,4,9.14,1,0.81
115,337,118,4,4.5,4.5,9.65,1,0.92
116,304,103,5,5,3,7.92,0,0.71
117,324,107,4,4,4.5,8.87,1,0.76
118,321,109,3,3.5,3.5,8.8,1,0.74
119,323,111,5,4,5,9.86,1,0.92
120,321,111,3,3.5,4,8.83,1,0.77
121,305,107,2,2.5,2.5,8.42,0,0.71
122,323,108,5,4,4,8.74,1,0.81
123,314,107,2,2.5,4,8.56,0,0.63
124,316,109,3,3.5,3,8.76,0,0.77
125,327,112,3,3,3,8.72,1,0.74
126,339,116,4,4,3.5,9.8,1,0.96
127,306,105,2,3,2.5,8.26,0,0.73
128,295,99,2,2.5,3,7.65,0,0.57
129,316,109,4,4.5,3.5,8.76,1,0.74
130,316,104,3,3,3.5,8,1,0.72
131,332,118,5,5,5,9.47,1,0.94
132,323,113,3,4,3,9.32,1,0.85
